Aatf	Bak1	Unknown	22983126
Aatf	Bax	Unknown	22983126
Aatf	Bbc3	Unknown	22983126
Aatf	Cdkn1a	Unknown	21317046
Aatf	Tpt1	Activation	17157788
Aatf	Trp53	Activation	17157788;20708154
Abl1	Trp53	Unknown	7651743
Abl1	Trp73	Unknown	11466610
Aebp2	Jarid2	Unknown	25451679
Aebp2	Snai2	Unknown	25451679
Aes	Ihh	Activation	15183720
Ahr	Abcc4	Unknown	20395535
Ahr	Apaf1	Unknown	18524851
Ahr	Cyp19a1	Activation	16260617
Ahr	Cyp1a1	Activation	1317062;15313166;19474220
Ahr	Cyp1a1	Unknown	11248424;19470599;24639079
Ahr	Cyp1a2	Unknown	22442665
Ahr	Cyp1b1	Unknown	19470599;22442665
Ahr	E2f2	Unknown	20573986
Ahr	Gata4	Repression	22684894
Ahr	Gsta1	Activation	19474220
Ahr	Il17a	Repression	21266768
Ahr	Il17a	Unknown	21266776
Ahr	Il6	Repression	19703987;21930594
Ahr	Lhb	Unknown	24145128
Ahr	Nkx2-5	Repression	22684894
Ahr	Nqo1	Activation	19474220
Ahr	Nqo1	Unknown	23800876
Ahr	Pla2g4a	Activation	19716514
Ahr	Ptgs2	Activation	15213229
Ahr	Serpinb2	Unknown	19822660
Ahr	Sim1	Unknown	14660629
Ahr	Smoc2	Unknown	19146932
Ahr	Snai2	Activation	16952353
Ahr	Ugt1a6a	Activation	19474220
Ahr	Vav3	Activation	21115475
Aire	Bmp2	Unknown	23850677
Aire	F11	Activation	22203960
Alx4	Fgf10	Activation	25673119
Ankrd1	Myl2	Repression	9043061
Ankrd1	Nppa	Repression	18273862
Apbb1	Lrp1	Repression	17920016
Apbb1	Notch1	Unknown	22199353
Apc	Ctnnb1	Unknown	15327768
Apc	Myc	Repression	10229202;16510874
Apc	Spp1	Activation	17565744
Apc	Tcf4	Activation	10489374
Apc	Trp53	Repression	18533991
Apex1	Apod	Unknown	20493910
Apex1	Blk	Activation	14594818
Apex1	Ccl12	Activation	17045925
Apex1	Nfkb1	Activation	17045925;20498636
Apex1	Nfkb1	Unknown	19268524
Apex1	Pax5	Activation	14594818
Apex1	Ptgs2	Activation	20498636
Apex1	Rela	Activation	17045925
Apex1	Tlr4	Repression	14706822
Ar	Ccr2	Activation	19907077
Ar	Cga	Repression	11518798
Ar	Fkbp5	Unknown	16210365
Ar	Foxa1	Unknown	12750453
Ar	Klkb1	Unknown	22695118
Ar	Nkx3-1	Activation	16697957
Ar	Nkx3-1	Unknown	23786676
Ar	Nr0b1	Repression	12081648
Ar	Psat1	Unknown	15923603
Ar	Runx2	Repression	19389811
Ar	Scnn1a	Activation	16172422
Ar	Sox2	Repression	23326489
Ar	Tnf	Activation	19907077
Ar	rsl	Activation	9727045
Arid3a	Cr2	Unknown	19487031
Arid3a	Igh	Activation	19214191;21955986
Arid3b	Igh	Activation	21955986
Arid5b	Sox9	Unknown	24276541
Arl6ip5	Parp1	Repression	17462538
Arl6ip5	Xrcc1	Activation	17462538
Arnt	Atxn3	Unknown	15233999
Arnt	Cyp1a1	Activation	15313166;17023418
Arnt	Cyp1a2	Unknown	22442665
Arnt	Cyp1b1	Unknown	22442665
Arnt	E2f2	Unknown	20573986
Arnt	Sim1	Unknown	14660629
Arnt	Th	Repression	17457889
Arntl	Bhlhe40	Activation	19032342
Arntl	Bhlhe40	Unknown	16267380
Arntl	Bhlhe41	Unknown	16267380
Arntl	Ctnnb1	Unknown	7787888
Arntl	Cxcl5	Unknown	25064128
Arntl	Dbp	Unknown	16474407
Arntl	Maoa	Unknown	18439826
Arntl	Nfe2l2	Repression	23547261
Arntl	Per1	Activation	12397359;12544823;15147242
Arntl	Per1	Unknown	16267380;21479263
Arntl	Per2	Activation	24051492
Arntl	Tcf3	Unknown	7787888
Arntl	Vwf	Repression	20658528
Arntl	Wnt10a	Unknown	7787888
Arntl2	Thbd	Unknown	17848551
Arx	Kdm5c	Unknown	23246292
Arx	Shh	Activation	24968361
Ascl1	Bub1	Activation	15060276
Ascl1	Cdkn2d	Activation	15060276
Ascl1	Dll3	Unknown	19389376
Ascl1	Dll4	Activation	24257627
Ascl1	Hes5	Unknown	22714260
Ascl1	Pdgfra	Activation	17442807
Ascl1	Phox2a	Activation	9435282
Ascl1	Rnd3	Activation	21435554
Ascl1	Tph2	Activation	19542360
Ash1l	Tgfb1	Unknown	22488473
Ash1l	Timp1	Unknown	22488473
Asxl1	Fabp4	Unknown	21047783
Atf1	Cebpb	Unknown	14593102
Atf1	Hspa5	Activation	12871976
Atf1	Nudt1	Unknown	11314867
Atf1	Thbs1	Unknown	9371503
Atf2	Ccnd1	Activation	10464245;9990041
Atf2	Cebpa	Activation	11243868
Atf2	Entpd1	Activation	20178980
Atf2	Fgf21	Activation	25055037
Atf2	Fos	Activation	21069729
Atf2	Gabrb3	Activation	8703044
Atf2	Il23a	Repression	18802055
Atf2	Ins2	Activation	21278380
Atf2	Ins2	Unknown	10909971
Atf2	Per1	Unknown	15226430
Atf2	Pparg	Activation	11243868
Atf2	Rela	Activation	21350211
Atf2	Rhob	Activation	11160903
Atf2	Serpinb5	Activation	17700520
Atf2	Sox9	Unknown	24144697
Atf2	Tnf	Unknown	12509451
Atf2	Ucp1	Unknown	15024092
Atf3	Atf3	Repression	22989952
Atf3	Ccnd1	Activation	11375399
Atf3	Gck	Unknown	25074928
Atf3	Il12b	Repression	16688168
Atf3	Il6	Repression	16688168
Atf3	Pdx1	Repression	21821004
Atf3	Sort1	Repression	22466652
Atf3	Tnfrsf10b	Activation	21927023
Atf4	Bglap3	Unknown	21866569
Atf4	Cdkn1a	Activation	12611881
Atf4	Cdkn1b	Activation	12611881
Atf4	Ddr2	Activation	20564243
Atf4	Fgf15	Activation	23205607
Atf4	Fgf2	Unknown	22378151
Atf4	Hspa5	Activation	12871976
Atf4	Ihh	Unknown	19906842
Atf4	Il6	Activation	23990363
Atf4	Mcm7	Unknown	22739985
Atf4	Mir106b	Unknown	22739985
Atf4	Sphk2	Activation	25808625
Atf4	Trib3	Unknown	20592469
Atf6	Hspa5	Activation	12871976;16452489
Atf6	Wbp1	Activation	21841196
Atm	Cdkn1a	Repression	20368352
